Year,Suburb,Sex,Age Group,Population
06/30/2015 12:00:00 AM,Aranda     ,FEMALE,0-10,192
06/30/2015 12:00:00 AM,Aranda     ,FEMALE,11-20,154
06/30/2015 12:00:00 AM,Aranda     ,FEMALE,21-30,158
06/30/2015 12:00:00 AM,Aranda     ,FEMALE,31-40,165
06/30/2015 12:00:00 AM,Aranda     ,FEMALE,41-50,159
06/30/2015 12:00:00 AM,Aranda     ,FEMALE,51-60,165
06/30/2015 12:00:00 AM,Aranda     ,FEMALE,60+,310
06/30/2015 12:00:00 AM,Aranda     ,MALE,0-10,212
06/30/2015 12:00:00 AM,Aranda     ,MALE,11-20,130
06/30/2015 12:00:00 AM,Aranda     ,MALE,21-30,148
06/30/2015 12:00:00 AM,Aranda     ,MALE,31-40,117
06/30/2015 12:00:00 AM,Aranda     ,MALE,41-50,176
06/30/2015 12:00:00 AM,Aranda     ,MALE,51-60,148
06/30/2015 12:00:00 AM,Aranda     ,MALE,60+,260
06/30/2016 12:00:00 AM,Aranda     ,FEMALE,0-10,201
06/30/2016 12:00:00 AM,Aranda     ,FEMALE,11-20,151
06/30/2016 12:00:00 AM,Aranda     ,FEMALE,21-30,150
06/30/2016 12:00:00 AM,Aranda     ,FEMALE,31-40,165
06/30/2016 12:00:00 AM,Aranda     ,FEMALE,41-50,157
06/30/2016 12:00:00 AM,Aranda     ,FEMALE,51-60,167
06/30/2016 12:00:00 AM,Aranda     ,FEMALE,60+,313
06/30/2016 12:00:00 AM,Aranda     ,MALE,0-10,218
06/30/2016 12:00:00 AM,Aranda     ,MALE,11-20,132
06/30/2016 12:00:00 AM,Aranda     ,MALE,21-30,142
06/30/2016 12:00:00 AM,Aranda     ,MALE,31-40,118
06/30/2016 12:00:00 AM,Aranda     ,MALE,41-50,160
06/30/2016 12:00:00 AM,Aranda     ,MALE,51-60,166
06/30/2016 12:00:00 AM,Aranda     ,MALE,60+,260
06/30/2017 12:00:00 AM,Aranda     ,FEMALE,0-10,197
06/30/2017 12:00:00 AM,Aranda     ,FEMALE,11-20,161
06/30/2017 12:00:00 AM,Aranda     ,FEMALE,21-30,142
06/30/2017 12:00:00 AM,Aranda     ,FEMALE,31-40,166
06/30/2017 12:00:00 AM,Aranda     ,FEMALE,41-50,152
06/30/2017 12:00:00 AM,Aranda     ,FEMALE,51-60,169
06/30/2017 12:00:00 AM,Aranda     ,FEMALE,60+,319
06/30/2017 12:00:00 AM,Aranda     ,MALE,0-10,232
06/30/2017 12:00:00 AM,Aranda     ,MALE,11-20,127
06/30/2017 12:00:00 AM,Aranda     ,MALE,21-30,130
06/30/2017 12:00:00 AM,Aranda     ,MALE,31-40,127
06/30/2017 12:00:00 AM,Aranda     ,MALE,41-50,150
06/30/2017 12:00:00 AM,Aranda     ,MALE,51-60,171
06/30/2017 12:00:00 AM,Aranda     ,MALE,60+,262
06/30/2018 12:00:00 AM,Aranda     ,FEMALE,0-10,204
06/30/2018 12:00:00 AM,Aranda     ,FEMALE,11-20,156
06/30/2018 12:00:00 AM,Aranda     ,FEMALE,21-30,136
06/30/2018 12:00:00 AM,Aranda     ,FEMALE,31-40,165
06/30/2018 12:00:00 AM,Aranda     ,FEMALE,41-50,152
06/30/2018 12:00:00 AM,Aranda     ,FEMALE,51-60,170
06/30/2018 12:00:00 AM,Aranda     ,FEMALE,60+,325
06/30/2018 12:00:00 AM,Aranda     ,MALE,0-10,232
06/30/2018 12:00:00 AM,Aranda     ,MALE,11-20,135
06/30/2018 12:00:00 AM,Aranda     ,MALE,21-30,120
06/30/2018 12:00:00 AM,Aranda     ,MALE,31-40,130
06/30/2018 12:00:00 AM,Aranda     ,MALE,41-50,147
06/30/2018 12:00:00 AM,Aranda     ,MALE,51-60,174
06/30/2018 12:00:00 AM,Aranda     ,MALE,60+,262
06/30/2019 12:00:00 AM,Aranda     ,FEMALE,0-10,209
06/30/2019 12:00:00 AM,Aranda     ,FEMALE,11-20,153
06/30/2019 12:00:00 AM,Aranda     ,FEMALE,21-30,128
06/30/2019 12:00:00 AM,Aranda     ,FEMALE,31-40,163
06/30/2019 12:00:00 AM,Aranda     ,FEMALE,41-50,151
06/30/2019 12:00:00 AM,Aranda     ,FEMALE,51-60,167
06/30/2019 12:00:00 AM,Aranda     ,FEMALE,60+,336
06/30/2019 12:00:00 AM,Aranda     ,MALE,0-10,233
06/30/2019 12:00:00 AM,Aranda     ,MALE,11-20,134
06/30/2019 12:00:00 AM,Aranda     ,MALE,21-30,118
06/30/2019 12:00:00 AM,Aranda     ,MALE,31-40,131
06/30/2019 12:00:00 AM,Aranda     ,MALE,41-50,154
06/30/2019 12:00:00 AM,Aranda     ,MALE,51-60,164
06/30/2019 12:00:00 AM,Aranda     ,MALE,60+,264
06/30/2020 12:00:00 AM,Aranda     ,FEMALE,0-10,212
06/30/2020 12:00:00 AM,Aranda     ,FEMALE,11-20,156
06/30/2020 12:00:00 AM,Aranda     ,FEMALE,21-30,120
06/30/2020 12:00:00 AM,Aranda     ,FEMALE,31-40,157
06/30/2020 12:00:00 AM,Aranda     ,FEMALE,41-50,150
06/30/2020 12:00:00 AM,Aranda     ,FEMALE,51-60,167
06/30/2020 12:00:00 AM,Aranda     ,FEMALE,60+,343
06/30/2020 12:00:00 AM,Aranda     ,MALE,0-10,234
06/30/2020 12:00:00 AM,Aranda     ,MALE,11-20,137
06/30/2020 12:00:00 AM,Aranda     ,MALE,21-30,113
06/30/2020 12:00:00 AM,Aranda     ,MALE,31-40,131
06/30/2020 12:00:00 AM,Aranda     ,MALE,41-50,158
06/30/2020 12:00:00 AM,Aranda     ,MALE,51-60,164
06/30/2020 12:00:00 AM,Aranda     ,MALE,60+,260
06/30/2015 12:00:00 AM,Belconnen  ,FEMALE,0-10,206
06/30/2015 12:00:00 AM,Belconnen  ,FEMALE,11-20,196
06/30/2015 12:00:00 AM,Belconnen  ,FEMALE,21-30,1122
06/30/2015 12:00:00 AM,Belconnen  ,FEMALE,31-40,532
06/30/2015 12:00:00 AM,Belconnen  ,FEMALE,41-50,221
06/30/2015 12:00:00 AM,Belconnen  ,FEMALE,51-60,162
06/30/2015 12:00:00 AM,Belconnen  ,FEMALE,60+,423
06/30/2015 12:00:00 AM,Belconnen  ,MALE,0-10,310
06/30/2015 12:00:00 AM,Belconnen  ,MALE,11-20,173
06/30/2015 12:00:00 AM,Belconnen  ,MALE,21-30,1182
06/30/2015 12:00:00 AM,Belconnen  ,MALE,31-40,673
06/30/2015 12:00:00 AM,Belconnen  ,MALE,41-50,292
06/30/2015 12:00:00 AM,Belconnen  ,MALE,51-60,203
06/30/2015 12:00:00 AM,Belconnen  ,MALE,60+,304
06/30/2018 12:00:00 AM,Hume       ,FEMALE,0-10,2
06/30/2018 12:00:00 AM,Hume       ,FEMALE,11-20,1
06/30/2018 12:00:00 AM,Hume       ,FEMALE,21-30,4
06/30/2018 12:00:00 AM,Hume       ,FEMALE,31-40,5
06/30/2018 12:00:00 AM,Hume       ,FEMALE,41-50,8
06/30/2018 12:00:00 AM,Hume       ,FEMALE,51-60,0
06/30/2018 12:00:00 AM,Hume       ,FEMALE,60+,12
06/30/2018 12:00:00 AM,Hume       ,MALE,0-10,0
06/30/2018 12:00:00 AM,Hume       ,MALE,11-20,1
06/30/2018 12:00:00 AM,Hume       ,MALE,21-30,100
06/30/2018 12:00:00 AM,Hume       ,MALE,31-40,95
06/30/2018 12:00:00 AM,Hume       ,MALE,41-50,50
06/30/2018 12:00:00 AM,Hume       ,MALE,51-60,22
06/30/2018 12:00:00 AM,Hume       ,MALE,60+,20
06/30/2016 12:00:00 AM,Lawson,FEMALE,0-10,30
06/30/2016 12:00:00 AM,Lawson,FEMALE,11-20,18
06/30/2016 12:00:00 AM,Lawson,FEMALE,21-30,63
06/30/2016 12:00:00 AM,Lawson,FEMALE,31-40,45
06/30/2016 12:00:00 AM,Lawson,FEMALE,41-50,22
06/30/2016 12:00:00 AM,Lawson,FEMALE,51-60,8
06/30/2016 12:00:00 AM,Lawson,FEMALE,60+,4
06/30/2016 12:00:00 AM,Lawson,MALE,0-10,32
06/30/2016 12:00:00 AM,Lawson,MALE,11-20,16
06/30/2016 12:00:00 AM,Lawson,MALE,21-30,73
06/30/2016 12:00:00 AM,Lawson,MALE,31-40,42
06/30/2016 12:00:00 AM,Lawson,MALE,41-50,24
06/30/2016 12:00:00 AM,Lawson,MALE,51-60,6
06/30/2016 12:00:00 AM,Lawson,MALE,60+,2
06/30/2016 12:00:00 AM,Belconnen  ,FEMALE,0-10,220
06/30/2016 12:00:00 AM,Belconnen  ,FEMALE,11-20,207
06/30/2016 12:00:00 AM,Belconnen  ,FEMALE,21-30,1125
06/30/2016 12:00:00 AM,Belconnen  ,FEMALE,31-40,558
06/30/2016 12:00:00 AM,Belconnen  ,FEMALE,41-50,223
06/30/2016 12:00:00 AM,Belconnen  ,FEMALE,51-60,173
06/30/2016 12:00:00 AM,Belconnen  ,FEMALE,60+,445
06/30/2016 12:00:00 AM,Belconnen  ,MALE,0-10,312
06/30/2016 12:00:00 AM,Belconnen  ,MALE,11-20,201
06/30/2016 12:00:00 AM,Belconnen  ,MALE,21-30,1207
06/30/2016 12:00:00 AM,Belconnen  ,MALE,31-40,690
06/30/2016 12:00:00 AM,Belconnen  ,MALE,41-50,290
06/30/2016 12:00:00 AM,Belconnen  ,MALE,51-60,218
06/30/2016 12:00:00 AM,Belconnen  ,MALE,60+,320
06/30/2017 12:00:00 AM,Belconnen  ,FEMALE,0-10,231
06/30/2017 12:00:00 AM,Belconnen  ,FEMALE,11-20,215
06/30/2017 12:00:00 AM,Belconnen  ,FEMALE,21-30,1120
06/30/2017 12:00:00 AM,Belconnen  ,FEMALE,31-40,587
06/30/2017 12:00:00 AM,Belconnen  ,FEMALE,41-50,234
06/30/2017 12:00:00 AM,Belconnen  ,FEMALE,51-60,186
06/30/2017 12:00:00 AM,Belconnen  ,FEMALE,60+,470
06/30/2017 12:00:00 AM,Belconnen  ,MALE,0-10,318
06/30/2017 12:00:00 AM,Belconnen  ,MALE,11-20,226
06/30/2017 12:00:00 AM,Belconnen  ,MALE,21-30,1214
06/30/2017 12:00:00 AM,Belconnen  ,MALE,31-40,720
06/30/2017 12:00:00 AM,Belconnen  ,MALE,41-50,294
06/30/2017 12:00:00 AM,Belconnen  ,MALE,51-60,225
06/30/2017 12:00:00 AM,Belconnen  ,MALE,60+,341
06/30/2018 12:00:00 AM,Belconnen  ,FEMALE,0-10,242
06/30/2018 12:00:00 AM,Belconnen  ,FEMALE,11-20,225
06/30/2018 12:00:00 AM,Belconnen  ,FEMALE,21-30,1121
06/30/2018 12:00:00 AM,Belconnen  ,FEMALE,31-40,613
06/30/2018 12:00:00 AM,Belconnen  ,FEMALE,41-50,248
06/30/2018 12:00:00 AM,Belconnen  ,FEMALE,51-60,190
06/30/2018 12:00:00 AM,Belconnen  ,FEMALE,60+,496
06/30/2018 12:00:00 AM,Belconnen  ,MALE,0-10,329
06/30/2018 12:00:00 AM,Belconnen  ,MALE,11-20,240
06/30/2018 12:00:00 AM,Belconnen  ,MALE,21-30,1229
06/30/2018 12:00:00 AM,Belconnen  ,MALE,31-40,742
06/30/2018 12:00:00 AM,Belconnen  ,MALE,41-50,306
06/30/2018 12:00:00 AM,Belconnen  ,MALE,51-60,231
06/30/2018 12:00:00 AM,Belconnen  ,MALE,60+,363
06/30/2019 12:00:00 AM,Belconnen  ,FEMALE,0-10,258
06/30/2019 12:00:00 AM,Belconnen  ,FEMALE,11-20,227
06/30/2019 12:00:00 AM,Belconnen  ,FEMALE,21-30,1122
06/30/2019 12:00:00 AM,Belconnen  ,FEMALE,31-40,638
06/30/2019 12:00:00 AM,Belconnen  ,FEMALE,41-50,260
06/30/2019 12:00:00 AM,Belconnen  ,FEMALE,51-60,206
06/30/2019 12:00:00 AM,Belconnen  ,FEMALE,60+,519
06/30/2019 12:00:00 AM,Belconnen  ,MALE,0-10,334
06/30/2019 12:00:00 AM,Belconnen  ,MALE,11-20,256
06/30/2019 12:00:00 AM,Belconnen  ,MALE,21-30,1247
06/30/2019 12:00:00 AM,Belconnen  ,MALE,31-40,765
06/30/2019 12:00:00 AM,Belconnen  ,MALE,41-50,312
06/30/2019 12:00:00 AM,Belconnen  ,MALE,51-60,242
06/30/2019 12:00:00 AM,Belconnen  ,MALE,60+,387
06/30/2020 12:00:00 AM,Belconnen  ,FEMALE,0-10,272
06/30/2020 12:00:00 AM,Belconnen  ,FEMALE,11-20,233
06/30/2020 12:00:00 AM,Belconnen  ,FEMALE,21-30,1126
06/30/2020 12:00:00 AM,Belconnen  ,FEMALE,31-40,663
06/30/2020 12:00:00 AM,Belconnen  ,FEMALE,41-50,275
06/30/2020 12:00:00 AM,Belconnen  ,FEMALE,51-60,216
06/30/2020 12:00:00 AM,Belconnen  ,FEMALE,60+,543
06/30/2020 12:00:00 AM,Belconnen  ,MALE,0-10,341
06/30/2020 12:00:00 AM,Belconnen  ,MALE,11-20,272
06/30/2020 12:00:00 AM,Belconnen  ,MALE,21-30,1259
06/30/2020 12:00:00 AM,Belconnen  ,MALE,31-40,785
06/30/2020 12:00:00 AM,Belconnen  ,MALE,41-50,331
06/30/2020 12:00:00 AM,Belconnen  ,MALE,51-60,245
06/30/2020 12:00:00 AM,Belconnen  ,MALE,60+,414
06/30/2015 12:00:00 AM,Bruce      ,FEMALE,0-10,302
06/30/2015 12:00:00 AM,Bruce      ,FEMALE,11-20,495
06/30/2015 12:00:00 AM,Bruce      ,FEMALE,21-30,1626
06/30/2015 12:00:00 AM,Bruce      ,FEMALE,31-40,494
06/30/2015 12:00:00 AM,Bruce      ,FEMALE,41-50,247
06/30/2015 12:00:00 AM,Bruce      ,FEMALE,51-60,270
06/30/2015 12:00:00 AM,Bruce      ,FEMALE,60+,374
06/30/2015 12:00:00 AM,Bruce      ,MALE,0-10,318
06/30/2015 12:00:00 AM,Bruce      ,MALE,11-20,485
06/30/2015 12:00:00 AM,Bruce      ,MALE,21-30,1524
06/30/2015 12:00:00 AM,Bruce      ,MALE,31-40,552
06/30/2015 12:00:00 AM,Bruce      ,MALE,41-50,234
06/30/2015 12:00:00 AM,Bruce      ,MALE,51-60,199
06/30/2015 12:00:00 AM,Bruce      ,MALE,60+,331
06/30/2016 12:00:00 AM,Bruce      ,FEMALE,0-10,315
06/30/2016 12:00:00 AM,Bruce      ,FEMALE,11-20,476
06/30/2016 12:00:00 AM,Bruce      ,FEMALE,21-30,1652
06/30/2016 12:00:00 AM,Bruce      ,FEMALE,31-40,537
06/30/2016 12:00:00 AM,Bruce      ,FEMALE,41-50,249
06/30/2016 12:00:00 AM,Bruce      ,FEMALE,51-60,261
06/30/2016 12:00:00 AM,Bruce      ,FEMALE,60+,394
06/30/2016 12:00:00 AM,Bruce      ,MALE,0-10,331
06/30/2016 12:00:00 AM,Bruce      ,MALE,11-20,500
06/30/2016 12:00:00 AM,Bruce      ,MALE,21-30,1534
06/30/2016 12:00:00 AM,Bruce      ,MALE,31-40,580
06/30/2016 12:00:00 AM,Bruce      ,MALE,41-50,237
06/30/2016 12:00:00 AM,Bruce      ,MALE,51-60,196
06/30/2016 12:00:00 AM,Bruce      ,MALE,60+,352
06/30/2019 12:00:00 AM,Hume       ,FEMALE,0-10,2
06/30/2019 12:00:00 AM,Hume       ,FEMALE,11-20,1
06/30/2019 12:00:00 AM,Hume       ,FEMALE,21-30,4
06/30/2019 12:00:00 AM,Hume       ,FEMALE,31-40,5
06/30/2019 12:00:00 AM,Hume       ,FEMALE,41-50,8
06/30/2019 12:00:00 AM,Hume       ,FEMALE,51-60,0
06/30/2019 12:00:00 AM,Hume       ,FEMALE,60+,12
06/30/2019 12:00:00 AM,Hume       ,MALE,0-10,0
06/30/2019 12:00:00 AM,Hume       ,MALE,11-20,1
06/30/2019 12:00:00 AM,Hume       ,MALE,21-30,100
06/30/2019 12:00:00 AM,Hume       ,MALE,31-40,95
06/30/2019 12:00:00 AM,Hume       ,MALE,41-50,50
06/30/2019 12:00:00 AM,Hume       ,MALE,51-60,22
06/30/2019 12:00:00 AM,Hume       ,MALE,60+,20
06/30/2017 12:00:00 AM,Bruce      ,FEMALE,0-10,337
06/30/2017 12:00:00 AM,Bruce      ,FEMALE,11-20,492
06/30/2017 12:00:00 AM,Bruce      ,FEMALE,21-30,1629
06/30/2017 12:00:00 AM,Bruce      ,FEMALE,31-40,593
06/30/2017 12:00:00 AM,Bruce      ,FEMALE,41-50,258
06/30/2017 12:00:00 AM,Bruce      ,FEMALE,51-60,250
06/30/2017 12:00:00 AM,Bruce      ,FEMALE,60+,409
06/30/2017 12:00:00 AM,Bruce      ,MALE,0-10,350
06/30/2017 12:00:00 AM,Bruce      ,MALE,11-20,507
06/30/2017 12:00:00 AM,Bruce      ,MALE,21-30,1539
06/30/2017 12:00:00 AM,Bruce      ,MALE,31-40,610
06/30/2017 12:00:00 AM,Bruce      ,MALE,41-50,237
06/30/2017 12:00:00 AM,Bruce      ,MALE,51-60,196
06/30/2017 12:00:00 AM,Bruce      ,MALE,60+,378
06/30/2018 12:00:00 AM,Bruce      ,FEMALE,0-10,363
06/30/2018 12:00:00 AM,Bruce      ,FEMALE,11-20,506
06/30/2018 12:00:00 AM,Bruce      ,FEMALE,21-30,1616
06/30/2018 12:00:00 AM,Bruce      ,FEMALE,31-40,634
06/30/2018 12:00:00 AM,Bruce      ,FEMALE,41-50,271
06/30/2018 12:00:00 AM,Bruce      ,FEMALE,51-60,245
06/30/2018 12:00:00 AM,Bruce      ,FEMALE,60+,421
06/30/2018 12:00:00 AM,Bruce      ,MALE,0-10,372
06/30/2018 12:00:00 AM,Bruce      ,MALE,11-20,521
06/30/2018 12:00:00 AM,Bruce      ,MALE,21-30,1536
06/30/2018 12:00:00 AM,Bruce      ,MALE,31-40,641
06/30/2018 12:00:00 AM,Bruce      ,MALE,41-50,240
06/30/2018 12:00:00 AM,Bruce      ,MALE,51-60,194
06/30/2018 12:00:00 AM,Bruce      ,MALE,60+,403
06/30/2019 12:00:00 AM,Bruce      ,FEMALE,0-10,385
06/30/2019 12:00:00 AM,Bruce      ,FEMALE,11-20,523
06/30/2019 12:00:00 AM,Bruce      ,FEMALE,21-30,1614
06/30/2019 12:00:00 AM,Bruce      ,FEMALE,31-40,665
06/30/2019 12:00:00 AM,Bruce      ,FEMALE,41-50,279
06/30/2019 12:00:00 AM,Bruce      ,FEMALE,51-60,250
06/30/2019 12:00:00 AM,Bruce      ,FEMALE,60+,433
06/30/2019 12:00:00 AM,Bruce      ,MALE,0-10,390
06/30/2019 12:00:00 AM,Bruce      ,MALE,11-20,534
06/30/2019 12:00:00 AM,Bruce      ,MALE,21-30,1539
06/30/2019 12:00:00 AM,Bruce      ,MALE,31-40,671
06/30/2019 12:00:00 AM,Bruce      ,MALE,41-50,254
06/30/2019 12:00:00 AM,Bruce      ,MALE,51-60,188
06/30/2019 12:00:00 AM,Bruce      ,MALE,60+,424
06/30/2020 12:00:00 AM,Bruce      ,FEMALE,0-10,405
06/30/2020 12:00:00 AM,Bruce      ,FEMALE,11-20,537
06/30/2020 12:00:00 AM,Bruce      ,FEMALE,21-30,1615
06/30/2020 12:00:00 AM,Bruce      ,FEMALE,31-40,692
06/30/2020 12:00:00 AM,Bruce      ,FEMALE,41-50,290
06/30/2020 12:00:00 AM,Bruce      ,FEMALE,51-60,250
06/30/2020 12:00:00 AM,Bruce      ,FEMALE,60+,454
06/30/2020 12:00:00 AM,Bruce      ,MALE,0-10,409
06/30/2020 12:00:00 AM,Bruce      ,MALE,11-20,548
06/30/2020 12:00:00 AM,Bruce      ,MALE,21-30,1547
06/30/2020 12:00:00 AM,Bruce      ,MALE,31-40,694
06/30/2020 12:00:00 AM,Bruce      ,MALE,41-50,267
06/30/2020 12:00:00 AM,Bruce      ,MALE,51-60,193
06/30/2020 12:00:00 AM,Bruce      ,MALE,60+,435
06/30/2015 12:00:00 AM,Charnwood  ,FEMALE,0-10,264
06/30/2015 12:00:00 AM,Charnwood  ,FEMALE,11-20,189
06/30/2015 12:00:00 AM,Charnwood  ,FEMALE,21-30,193
06/30/2015 12:00:00 AM,Charnwood  ,FEMALE,31-40,308
06/30/2015 12:00:00 AM,Charnwood  ,FEMALE,41-50,224
06/30/2015 12:00:00 AM,Charnwood  ,FEMALE,51-60,169
06/30/2015 12:00:00 AM,Charnwood  ,FEMALE,60+,232
06/30/2015 12:00:00 AM,Charnwood  ,MALE,0-10,271
06/30/2015 12:00:00 AM,Charnwood  ,MALE,11-20,147
06/30/2015 12:00:00 AM,Charnwood  ,MALE,21-30,240
06/30/2015 12:00:00 AM,Charnwood  ,MALE,31-40,261
06/30/2015 12:00:00 AM,Charnwood  ,MALE,41-50,193
06/30/2015 12:00:00 AM,Charnwood  ,MALE,51-60,138
06/30/2015 12:00:00 AM,Charnwood  ,MALE,60+,218
06/30/2016 12:00:00 AM,Charnwood  ,FEMALE,0-10,272
06/30/2016 12:00:00 AM,Charnwood  ,FEMALE,11-20,178
06/30/2016 12:00:00 AM,Charnwood  ,FEMALE,21-30,196
06/30/2016 12:00:00 AM,Charnwood  ,FEMALE,31-40,293
06/30/2016 12:00:00 AM,Charnwood  ,FEMALE,41-50,230
06/30/2016 12:00:00 AM,Charnwood  ,FEMALE,51-60,163
06/30/2016 12:00:00 AM,Charnwood  ,FEMALE,60+,240
06/30/2016 12:00:00 AM,Charnwood  ,MALE,0-10,270
06/30/2016 12:00:00 AM,Charnwood  ,MALE,11-20,157
06/30/2016 12:00:00 AM,Charnwood  ,MALE,21-30,227
06/30/2016 12:00:00 AM,Charnwood  ,MALE,31-40,259
06/30/2016 12:00:00 AM,Charnwood  ,MALE,41-50,198
06/30/2016 12:00:00 AM,Charnwood  ,MALE,51-60,132
06/30/2016 12:00:00 AM,Charnwood  ,MALE,60+,225
06/30/2017 12:00:00 AM,Charnwood  ,FEMALE,0-10,267
06/30/2017 12:00:00 AM,Charnwood  ,FEMALE,11-20,183
06/30/2017 12:00:00 AM,Charnwood  ,FEMALE,21-30,193
06/30/2017 12:00:00 AM,Charnwood  ,FEMALE,31-40,289
06/30/2017 12:00:00 AM,Charnwood  ,FEMALE,41-50,227
06/30/2017 12:00:00 AM,Charnwood  ,FEMALE,51-60,159
06/30/2017 12:00:00 AM,Charnwood  ,FEMALE,60+,250
06/30/2017 12:00:00 AM,Charnwood  ,MALE,0-10,272
06/30/2017 12:00:00 AM,Charnwood  ,MALE,11-20,157
06/30/2017 12:00:00 AM,Charnwood  ,MALE,21-30,212
06/30/2017 12:00:00 AM,Charnwood  ,MALE,31-40,261
06/30/2017 12:00:00 AM,Charnwood  ,MALE,41-50,206
06/30/2017 12:00:00 AM,Charnwood  ,MALE,51-60,123
06/30/2017 12:00:00 AM,Charnwood  ,MALE,60+,233
06/30/2020 12:00:00 AM,Hume       ,FEMALE,0-10,2
06/30/2020 12:00:00 AM,Hume       ,FEMALE,11-20,1
06/30/2020 12:00:00 AM,Hume       ,FEMALE,21-30,4
06/30/2020 12:00:00 AM,Hume       ,FEMALE,31-40,5
06/30/2020 12:00:00 AM,Hume       ,FEMALE,41-50,8
06/30/2020 12:00:00 AM,Hume       ,FEMALE,51-60,0
06/30/2020 12:00:00 AM,Hume       ,FEMALE,60+,12
06/30/2020 12:00:00 AM,Hume       ,MALE,0-10,0
06/30/2020 12:00:00 AM,Hume       ,MALE,11-20,1
06/30/2020 12:00:00 AM,Hume       ,MALE,21-30,100
06/30/2020 12:00:00 AM,Hume       ,MALE,31-40,95
06/30/2020 12:00:00 AM,Hume       ,MALE,41-50,50
06/30/2020 12:00:00 AM,Hume       ,MALE,51-60,22
06/30/2020 12:00:00 AM,Hume       ,MALE,60+,20
06/30/2018 12:00:00 AM,Charnwood  ,FEMALE,0-10,269
06/30/2018 12:00:00 AM,Charnwood  ,FEMALE,11-20,182
06/30/2018 12:00:00 AM,Charnwood  ,FEMALE,21-30,187
06/30/2018 12:00:00 AM,Charnwood  ,FEMALE,31-40,289
